line,tipo,data_ocorrencia,endereco,latitude,longitude
253,Homicidio,13/02/2017,"RUA SANTIAGO BUERAS, 9 GRAJAU - 04853050 S.PAULO SP",-23.768645,-46.6779355
278,Homicidio,07/02/2017,"RUA NOSSA SENHORA DO BOM CONSELHO, 320 CAMPO LIMPO - 05763470 S.PAULO SP",-23.6420969,-46.7590017
279,Homicidio,07/02/2017,"RUA NOSSA SENHORA DO BOM CONSELHO, 320 CAMPO LIMPO - 05763470 S.PAULO SP",-23.6420969,-46.7590017
281,Homicidio,02/02/2017,"RUA LUIS MATEUS, 1505 GUAIANASES - 08420750 S.PAULO SP",-23.5553757,-46.4234948
283,Homicidio,09/02/2017,"RUA DA VARZEA, 1 BARRA FUNDA - 01140080 S.PAULO SP",-23.5258388,-46.660288
284,Homicidio,01/02/2017,"RUA FREDERICO ALVARENGA, 168 SE - 01020030 S.PAULO SP",-23.5506773,-46.6290258
285,Homicidio,01/02/2017,"RUA FREDERICO ALVARENGA, 168 SE - 01020030 S.PAULO SP",-23.5506773,-46.6290258
287,Homicidio,09/02/2017,"RUA DA VARZEA, 1 BARRA FUNDA - 01140080 S.PAULO SP",-23.5258388,-46.660288
288,Homicidio,09/02/2017,"RUA DA VARZEA, 1 BARRA FUNDA - 01140080 S.PAULO SP",-23.5258388,-46.660288
289,Homicidio,21/02/2017,"RUA LUIS JULIANI, 1076 SAPOPEMBA - 03978270 S.PAULO SP",-23.6211888,-46.5112089
290,Homicidio,13/02/2017,"RUA MARIA DE SAO JOSE CUNHA, 22 CACHOEIRINHA - 02617050 S.PAULO SP",-23.4683524,-46.6574844
294,Homicidio,04/02/2017,"RUA BARAO DE LADARIO, 342 BRAS - 03010000 S.PAULO SP",-23.5391165,-46.6190129
301,Homicidio,02/02/2017,"RUA LUIS FRANCISCO LOMBARDI, 94 PIRITUBA - 05175260 S.PAULO SP",-23.4728249,-46.7420055
302,Homicidio,02/02/2017,"RUA LUIS FRANCISCO LOMBARDI, 94 PIRITUBA - 05175260 S.PAULO SP",-23.4728249,-46.7420055
315,Homicidio,05/02/2017,"RUA VALDO PAOLIELLO JUNIOR, 130 VILA SONIA - 05626100 S.PAULO SP",-23.5996701,-46.7340133
317,Homicidio,02/02/2017,"AVENIDA AIRTON PRETINI, 0 TATUAPE - 03090000 S.PAULO SP",-23.5282312,-46.5550422
324,Homicidio,03/02/2017,"AVENIDA GABRIELA MISTRAL, 111 PENHA - 03701010 S.PAULO SP",-23.5193522,-46.5474246
327,Homicidio,11/02/2017,"RUA VINTE E CINCO DE MARCO, 197 SE - 01021000 S.PAULO SP",-23.5479639,-46.6310689
334,Homicidio,04/02/2017,"AVENIDA DOUTOR BERNARDINO BRITO FONSECA, 200 VILA MATILDE - 03535000 S.PAULO SP",-23.5332606,-46.5208251
341,Homicidio,11/02/2017,"RUA VINTE E CINCO DE MARCO, 197 SE - 01021000 S.PAULO SP",-23.5479639,-46.6310689
342,Homicidio,20/02/2017,"PRACA DOUTOR MARIO MARGARIDO, 33 SE - 01514020 S.PAULO SP",-23.5544809,-46.6289588
347,Homicidio,10/02/2017,"RUA OLIMPIO RODRIGUES DA SILVA, 81 VILA SONIA - 05710080 S.PAULO SP",-23.6097059,-46.7435816
350,Homicidio,04/02/2017,"RUA DOS CORATIS, 296 PEDREIRA - 04473270 S.PAULO SP",-23.7054256,-46.6488845
355,Homicidio,10/02/2017,"RUA OLIMPIO RODRIGUES DA SILVA, 81 VILA SONIA - 05710080 S.PAULO SP",-23.6097059,-46.7435816
360,Homicidio,12/02/2017,"RUA DOUTOR RAFAEL DE ARAUJO RIBEIRO, 100 JARAGUA - 05181030 S.PAULO SP",-23.4560014,-46.7470098
