"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"12118",2003,2536,"Roubo de Veículo","23/06/2003","PELA MANHA","Nao","R AURIVERDE, 305 VIL CARIOCA - nan S.PAULO SP",-23.5932488,-46.5933759
"12119",2003,2318,"Roubo de Veículo","24/06/2003","PELA MANHA","Nao","ESTRADA BENTO ROTGER DOMINGUES - S/N, 0 DELFIM VERDE - 06850000 ITAPECERICA DA SERRA SP",-23.7265568,-46.8508315
"12120",2003,700,"Roubo de Veículo","24/06/2003","A TARDE","Nao","AV GUIDO ALIBERTI, 0 BAIRRO SAO JOSE - 09521040 S.CAETANO DO SUL SP",-23.6300036,-46.581435
"12121",2003,2691,"Roubo de Veículo","23/06/2003","PELA MANHA","Nao","R CURUCA, 0 VILA MARIA - nan S.PAULO SP",-23.5100448,-46.594849
"12122",2003,2691,"Roubo de Veículo","23/06/2003","PELA MANHA","Nao","R CURUCA, 0 VILA MARIA - nan S.PAULO SP",-23.5100448,-46.594849
"12123",2003,1290,"Roubo de Veículo","24/06/2003","A TARDE","Nao","AV PRES JUSCELINO, 0 VL NOVA CONQUISTA - nan DIADEMA SP",-23.6829968,-46.5892671
"12124",2003,2006,"Roubo de Veículo","24/06/2003","A TARDE","Nao","TRAVESSA PIRES, 61 VILA PIRES - nan S.ANDRE SP",-23.6748029,-46.51381
"12125",2003,6188,"Roubo de Veículo","24/06/2003","PELA MANHA","Nao","AL VIEIRA DE CARVALHO, 0 SANTA TEREZINHA - nan S.ANDRE SP",-23.6350803,-46.5324187
"12126",2003,5424,"Roubo de Veículo","24/06/2003","A NOITE","Nao","AV. INOCENCIO SERAFICO, 0 CENTRO - 0 CARAPICUIBA SP",-23.5212955,-46.8357996
"12127",2003,2702,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R NESTOR CABRAL, 0 JD. ROSA DE FRANCA - nan GUARULHOS SP",-23.4446333,-46.5534995
"12128",2003,4736,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R PELOTAS, 398 VILA MARIANA - nan S.PAULO SP",-23.5820255,-46.6441807
"12129",2003,2703,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R TREZE DE MAIO, 0 VILA GALVAO - nan GUARULHOS SP",-23.4551259,-46.5664345
"12130",2003,4218,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R ENG ISAC GARCEZ, 811 RUDGE RAMOS - nan S.BERNARDO DO CAMPO SP",-23.6651115,-46.5648193
"12131",2003,4084,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R CESARIO DAU, 274 JD. MARIA ROSA - nan TABOAO DA SERRA SP",-23.609592,-46.760469
"12132",2003,4221,"Roubo de Veículo","24/06/2003","A NOITE","Nao","AV TRINTA E UM DE MARCO, 0 PAULICEIA - nan S.BERNARDO DO CAMPO SP",-23.6681489,-46.5803602
"12133",2003,3784,"Roubo de Veículo","24/06/2003","A NOITE","Nao","AVENIDA JOAO BASSI, 0 JD CASTANHEIRAS - nan S.JOSE DOS CAMPOS SP",-23.1843794,-45.7912664
"12134",2003,6753,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R JOAO COELHO, 67 VILA AUGUSTA - nan GUARULHOS SP",-23.4828034,-46.5419345
"12135",2003,2076,"Roubo de Veículo","24/06/2003","A NOITE","Nao","EST PEDREIRA, 0 CAPUAVA - 06800000 EMBU SP",-23.645593,-46.8978819
"12136",2003,3212,"Roubo de Veículo","23/06/2003","A NOITE","Nao","R AMERICO SUGAI, 73 VILA JACUI - nan S.PAULO SP",-23.5070731,-46.4498745
"12137",2003,3212,"Roubo de Veículo","23/06/2003","A NOITE","Nao","R AMERICO SUGAI, 73 VILA JACUI - nan S.PAULO SP",-23.5070731,-46.4498745
"12138",2003,4745,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R MAESTRO CALLIA, 215 VILA MARIANA - nan S.PAULO SP",-23.5833921,-46.6468161
"12139",2003,7325,"Roubo de Veículo","25/06/2003","DE MADRUGADA","Nao","AV GETULIO VARGAS, 0 BAETA NEVES - nan S.BERNARDO DO CAMPO SP",-23.6856778,-46.5445037
"12140",2003,7325,"Roubo de Veículo","25/06/2003","DE MADRUGADA","Nao","AV GETULIO VARGAS, 0 BAETA NEVES - nan S.BERNARDO DO CAMPO SP",-23.6856778,-46.5445037
"12141",2003,5036,"Roubo de Veículo","25/06/2003","DE MADRUGADA","Nao","R MIN JESUINO CARDOSO, 589 VILA OLIMPIA - nan S.PAULO SP",-23.5921581,-46.6794632
"12142",2003,5431,"Roubo de Veículo","25/06/2003","DE MADRUGADA","Nao","RUA SABIA, 0 JD. TONATO - 0 CARAPICUIBA SP",-23.5816757,-46.8794545
"12143",2003,1625,"Roubo de Veículo","24/06/2003","A NOITE","Sim","AV JOAO MANOEL, 0 CENTRO - 07400000 ARUJA SP",-23.3954155,-46.3285801
"12144",2003,1625,"Roubo de Veículo","24/06/2003","A NOITE","Sim","AV JOAO MANOEL, 0 CENTRO - 07400000 ARUJA SP",-23.3954155,-46.3285801
"12145",2003,2192,"Roubo de Veículo","24/06/2003","A NOITE","Nao","R DUNQUERQUE, 0 PROX. ESCOLA CIDADE DOS MENINOS - nan S.ANDRE SP",-23.6336181,-46.5007521
"12146",2003,4103,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","R DONA MARIA ANGELINA, 95 JD ORIENTAL - nan OSASCO SP",-23.5616106,-46.7762831
"12147",2003,1817,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","RODOVIA PRESIDENTE DUTRA KM204, 0 JD.RINCAO - 07400000 ARUJA SP",-23.4028356,-46.3267867
"12148",2003,1791,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","AV SAO BERNARDO DO CAMPO, 0 VILA LUZITA - nan S.ANDRE SP",-23.6997038,-46.5084818
"12149",2003,1791,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","AV SAO BERNARDO DO CAMPO, 0 VILA LUZITA - nan S.ANDRE SP",-23.6997038,-46.5084818
"12150",2003,4644,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","R NOVA FRIBURGO, 155 JARDIM PENHA - 03759040 S.PAULO SP",-23.5042201,-46.500437
